tweet,date,city,user_location,id,link
"El Bruno ya preparado para navidad. Este es el Bruno navideño de la buena suerte, deja tu ❤️ y tendrás buena suerte JAJAJAJAJAA 🤪🤪🤪🤪 https://t.co/V5vR00Utjl",2020-11-20 05:10:54,Bogotá,"Chía, Colombia",1329653422124134400,https://twitter.com/i/web/status/1329653422124134400
¿Ya armaron el arbolito de navidad 🎄?.,2020-11-20 05:07:46,Bogotá,"𝙱𝚘𝚐𝚘𝚝á, 𝙲𝚘𝚕𝚘𝚖𝚋𝚒𝚊",1329652633536241664,https://twitter.com/i/web/status/1329652633536241664
Cómo sera pasar una navidad con pareja? Xd,2020-11-20 04:47:05,Bogotá,"Bogotá, Colombia",1329647429831028749,https://twitter.com/i/web/status/1329647429831028749
"Ya lo vieron más de 150 personas, que van a querer de navidad fans",2020-11-20 04:47:01,Bogotá,Bogotá,1329647410772111361,https://twitter.com/i/web/status/1329647410772111361
"En mi carta de navidad para papá Noel, le voy a pedir que me traiga de regalo a alguien que me quiera y me valore de verdad:(",2020-11-20 04:44:10,Bogotá,"Bogotá, Colombia",1329646694926004224,https://twitter.com/i/web/status/1329646694926004224
Nada más doloroso que perder a tu madre a pocos días de navidad.,2020-11-20 04:43:21,Bogotá,"Villavicencio, Colombia",1329646489304518656,https://twitter.com/i/web/status/1329646489304518656
Faltan 38 días para navidad y estoy entre colgar las luces o colgarme yo.,2020-11-20 04:40:39,Bogotá,Bogota- Colombia,1329645811945402375,https://twitter.com/i/web/status/1329645811945402375
A mi SI se me adelantó la navidad: la dicha de pasar semanas con mi madre 🥰 https://t.co/Jq9DMMDyJ3,2020-11-20 04:29:15,Bogotá,Bogotá,1329642941321768960,https://twitter.com/i/web/status/1329642941321768960
"Lo mejor de esta época, es sentarse con todo apagado, prender la navidad , y reflexionar . https://t.co/GxFqguZNa0",2020-11-20 04:23:48,Bogotá,Ibague,1329641571038466048,https://twitter.com/i/web/status/1329641571038466048
De navidad quiero muchos libros🥰💕,2020-11-20 04:11:30,Bogotá,"Bogotá, Colombia.",1329638476178976770,https://twitter.com/i/web/status/1329638476178976770
"@MillosFCoficial y sus fracasos constantes, se les volvió normal fracasar, Serpa y Camacho felices de la pelota van a tener una navidad feliz como siempre, y nosotros los hinchas comiendo mierda como de costumbre... LPM",2020-11-20 03:52:17,Bogotá,Bogotá,1329633637394915328,https://twitter.com/i/web/status/1329633637394915328
Otra navidad más sin ir a novenas :v.,2020-11-20 03:45:01,Bogotá,Bogota,1329631810091954177,https://twitter.com/i/web/status/1329631810091954177
Yo esperando a que llegue la navidad luego de haber creído durante tantos años que tú me eras fiel jajaja 🤣#MentirasDeTuiterosParaCuliar,2020-11-20 03:44:42,Bogotá,"Cundinamarca, Colombia",1329631729959768064,https://twitter.com/i/web/status/1329631729959768064
En mi casa también empezando a estar modo: navidad. 🎄🎄🎄 https://t.co/3BHxWpyEct,2020-11-20 03:40:41,Bogotá,Pereira,1329630718406881287,https://twitter.com/i/web/status/1329630718406881287
"La gente muriendo de hambre como consecuencia de la pandemia y las alcaldías iluminando la navidad... coman mierda, coherencia hijueputas.",2020-11-20 03:33:32,Bogotá,"Bogotá, Colombia",1329628921466417154,https://twitter.com/i/web/status/1329628921466417154
"@QuinteroCalle Salido totalmente de contexto alcalde Quintero. Solo hay una razón por la que se llama navidad (nacimiento), y nada tiene que ver el diablo en ella. Respete! 👎🏻",2020-11-20 03:33:28,Bogotá,pereira colombia,1329628904345235456,https://twitter.com/i/web/status/1329628904345235456
quién me regala el evaluame de navidad jajs,2020-11-20 03:32:26,Bogotá,Bogotá - Colombia,1329628641693667328,https://twitter.com/i/web/status/1329628641693667328
@fernanda_2344 Con el tiempo uno solo vuelve a pasar navidad y año nuevo y media vuelta.,2020-11-20 03:27:45,Bogotá,Bogotá,1329627465627688962,https://twitter.com/i/web/status/1329627465627688962
"@DanielSamperO @MegustaleerCo @Escuelade_YT Yo me voy a poner a bailar, ese ritmo está buenísimo. Se me pegó 🎉🎉😅 Ideal para esta navidad. #ConPDePolombia",2020-11-20 03:23:58,Bogotá,"Pereira, Colombia",1329626511494754304,https://twitter.com/i/web/status/1329626511494754304
"#artemilama
Pedidos al internó en preciosos adornos de navidad. https://t.co/WrI0ZiAolk",2020-11-20 03:16:18,Bogotá,Soacha/Cundinamarca,1329624584757370885,https://twitter.com/i/web/status/1329624584757370885
y este vestido que les queda apenas pa navidad https://t.co/KuXW0mhxyd,2020-11-20 03:14:34,Bogotá,Bogotá,1329624147002077184,https://twitter.com/i/web/status/1329624147002077184
"Promociones y más promociones en Deportenis 👌
https://t.co/taAF4X4eHd",2020-11-20 03:00:01,Bogotá,"Bogotá, Colombia",1329620485710041088,https://twitter.com/i/web/status/1329620485710041088
"Existen dos tipos de personas, los que ponen las decoraciones de navidad desde el 1 de noviembre y los que esperan hasta el 7 de velitas para inagurar navidad.",2020-11-20 02:58:31,Bogotá,Bogotá-Colombia.,1329620107346268161,https://twitter.com/i/web/status/1329620107346268161
"Señor Eliser, ¿Usted toma? / Solo una copita de Jérez en Navidad https://t.co/dl3TSFvWDi",2020-11-20 02:55:43,Bogotá,Bogotá,1329619401621049348,https://twitter.com/i/web/status/1329619401621049348
"Llega navidad 🤶🦌🦌🤶🛷🛷🛷 #maxitriana en Mosquera, Cundinamarca https://t.co/r4afmw1Sja",2020-11-20 02:52:03,Bogotá,"bogota, Colombia",1329618481596264454,https://twitter.com/i/web/status/1329618481596264454
Ya sé qué me voy a regalar de navidad. https://t.co/uEqG2L1d8H,2020-11-20 02:44:53,Bogotá,"Zipaquirá, Colombia",1329616674769735680,https://twitter.com/i/web/status/1329616674769735680
"voy a poner a jah con el gorrito de navidad el 1 de diciembre, mientras tanto voy a disfrutar de rocky pequeñito jsjksksjs",2020-11-20 02:38:58,Bogotá,bogotá,1329615189747101702,https://twitter.com/i/web/status/1329615189747101702
de navidad solo pido unos audífonos buenos @niñodios,2020-11-20 02:22:31,Bogotá,Bogotá - Colombia,1329611049616728069,https://twitter.com/i/web/status/1329611049616728069
Ricky Martin es todo lo que quiero para Navidad.,2020-11-20 02:21:26,Bogotá,Bogotá ,1329610776458432514,https://twitter.com/i/web/status/1329610776458432514
"Si yo le gusto dígame, quien quita y usted también me guste y pasemos navidad juntos...",2020-11-20 02:17:02,Bogotá,Villavicencio-Meta,1329609669376151553,https://twitter.com/i/web/status/1329609669376151553
Ya saben que me pueden dar de navidad https://t.co/lnarACIq5y,2020-11-20 02:15:29,Bogotá,"Manizales, Colombia",1329609279012270083,https://twitter.com/i/web/status/1329609279012270083
"Mi hermano de navidad quiere un dron de 5 palos, k te pasa Gonorrea",2020-11-20 02:03:22,Bogotá,Bogota,1329606227597422592,https://twitter.com/i/web/status/1329606227597422592
"Esta navidad será diferente, pero finalmente estaremos con los que siempre han sido, siempre han estado, en las buenas y en LAS MALAS.",2020-11-20 02:03:07,Bogotá,"Manizales, Caldas, Colombia",1329606164276011010,https://twitter.com/i/web/status/1329606164276011010
"¡""De año nuevo y navidad""!
19 de noviembre.
Estoy con deseo de terminar.
Pero no estoy preparado para navidad.
Y tengo que estar agradecido.",2020-11-20 02:00:41,Bogotá,"Manizales, Colombia",1329605552519983104,https://twitter.com/i/web/status/1329605552519983104
Pues yo digo que tiene ma que ver con la navidad el diablo que los renos y los pingüinos. Pero bueno es mi opinión,2020-11-20 01:59:23,Bogotá,"Bogotá, D.C., Colombia",1329605226962284545,https://twitter.com/i/web/status/1329605226962284545
"@QuinteroCalle La navidad no es un carnacal ni una fiesta folklorica, es una fiesta con un  sentido religioso muy claro.  Ese diablito lo pueden guardar para jalogüín.",2020-11-20 01:57:16,Bogotá,"Ibagué, Colombia",1329604692867944454,https://twitter.com/i/web/status/1329604692867944454
Tan solo soy una persona que ya quiere que le paguen la prima de navidad 🥺,2020-11-20 01:52:28,Bogotá,Bogotá,1329603484266737671,https://twitter.com/i/web/status/1329603484266737671
@JuMaJaRa Jajajajajaja un bobo hp que no sabe como empezó la navidad jajaja pobre Diosito y estos fanáticos locos,2020-11-20 01:47:52,Bogotá,zipaquira ,1329602326630453249,https://twitter.com/i/web/status/1329602326630453249
Fav si quieres que sea tu regalito de Navidad,2020-11-20 01:47:50,Bogotá,,1329602319227482113,https://twitter.com/i/web/status/1329602319227482113
"@JuMaJaRa Jajajajjaja se nota que este bobo hp no sabe cómo empezo la navidad, la cual no es solo cristiana jajaja llorón de mierda",2020-11-20 01:44:53,Bogotá,zipaquira ,1329601578538590208,https://twitter.com/i/web/status/1329601578538590208
"@QuinteroCalle Son los más hermosos de COLOMBIA, la navidad es mágica y divina gracias a los alumbrados en Medellín, Señor Alcalde queremos verlos todos!!",2020-11-20 01:43:07,Bogotá,Bogota,1329601133711646720,https://twitter.com/i/web/status/1329601133711646720
"@ghitis @jbagbam74 El despilfarro de recursos en estos tiempos, realmente es una canallada y el de Medellín haciendo demonios gigantes disque para adornar la navidad. No se sabe cuál es peor.",2020-11-20 01:39:10,Bogotá,"Bogota, Colombia",1329600138936000520,https://twitter.com/i/web/status/1329600138936000520
@miniminibwl NAVIDAD AGUILA ROJAAAAA,2020-11-20 01:36:33,Bogotá,Bogota,1329599481789227008,https://twitter.com/i/web/status/1329599481789227008
"Me da igual la navidad, pero si mis papás quieren decorar, los apoyo.
No se porque tenemos que amargarnos solo porque no ha sido un buen año. Gracias Dios por tenerlos con vida.💫",2020-11-20 01:36:19,Bogotá,"Ibagué, Colombia",1329599421131132929,https://twitter.com/i/web/status/1329599421131132929
Tengo ganas de pasar navidad en una fondita paisa y no se que hacer la verdad.,2020-11-20 01:31:58,Bogotá,"Bogotá, Colombia",1329598324857593858,https://twitter.com/i/web/status/1329598324857593858
"La economía en el municipio de Soacha ya se ha reactivado en un 95%, sólo falta por reactivarse bares y discotecas. El alcalde @juancsaldarriag, asegura que toda la ciudad estará iluminada en navidad para reactivar el turismo. @Alcaldia_Soacha https://t.co/HkzivlFaU6",2020-11-20 01:31:53,Bogotá,Bogotá,1329598307606425601,https://twitter.com/i/web/status/1329598307606425601
Quiero un saco de Mickey de navidad😭,2020-11-20 01:29:55,Bogotá,"Bogotá, Colombia",1329597812468801536,https://twitter.com/i/web/status/1329597812468801536
Que pidieron para esta navidad?? 💋💥💋 https://t.co/gbDOseqCTy,2020-11-20 01:26:10,Bogotá,"Bogotá, D.C., Colombia",1329596866112212994,https://twitter.com/i/web/status/1329596866112212994
